ND6TRAN|salesinvoice|attribute|salesmanID|salesorderNumber|salesorderDate|invoiceNumber|invoiceDate|term|soldtoCustomerID|senttoCustomerID|invoicedtoCustomerID|customerPO|sellingType|documentType|cashPayment|giroPayment|giroNumber|giroBank|giroDue|adjustmentAmount|discount1|discount2|discount3|tax1|tax2|tax3|productCode|productvarianCode|qtySold|qtyFreeGood|sellingPrice|lineDiscount1|lineDiscount2|lineDiscount3|lineDiscount4|lineDiscount5|companyID|branchID|divisionID|warehouseID|lineGrossAmount|lineDiscountAmount1|lineDiscountAmount2|lineDiscountAmount3|lineDiscountAmount4|lineDiscountAmount5|discountAmount1|discountAmount2|discountAmount3|taxAmount1|taxAmount2|taxAmount3|lineNetAmount|conversion1to4|conversion2to4|conversion3to4|unitCost|manualPO|promotionID|referenceNumber|isSKU
ND6TRAN|salesinvoice|value|SLS001|SO2412744271|2024-12-07|SI241243202|2024-12-09|13|F160505|F160505|F160505|SLS001-00124120000000019330|TO||0|0||||0|0|0|0|11|0|0|WB-STW-12|-|6|0|80000|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|40000|0|0|0|0|0|0|0|0|4400|0|0|44400|12|1|1|0|SLS001-00124120000000019330|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744656|2024-12-09|SI241243237|2024-12-10|0|F162441|F162441|F162441|SLS001-00124120000000022464|TO||0|0||||0|0|0|0|11|0|0|CC-KLP-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS001-00124120000000022464|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744656|2024-12-09|SI241243237|2024-12-10|0|F162441|F162441|F162441|SLS001-00124120000000022464|TO||0|0||||0|0|0|0|11|0|0|CC-SHP-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS001-00124120000000022464|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744657|2024-12-09|SI241243238|2024-12-10|13|C1107|C1107|C1107|SLS001-00124120000000022510|TO||0|0||||0|0|0|0|11|0|0|BI-GB-24|-|40|0|91891.89|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|30630.63|0|0|0|0|0|0|0|0|3369.3693|0|0|33999.9993|120|10|1|0|SLS001-00124120000000022510|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744657|2024-12-09|SI241243238|2024-12-10|13|C1107|C1107|C1107|SLS001-00124120000000022510|TO||0|0||||0|0|0|0|11|0|0|CC-MCHO-30|-|6|0|133333.33|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|26666.67|0|0|0|0|0|0|0|0|2933.3337|0|0|29600.0037|30|1|1|0|SLS001-00124120000000022510|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744657|2024-12-09|SI241243238|2024-12-10|13|C1107|C1107|C1107|SLS001-00124120000000022510|TO||0|0||||0|0|0|0|11|0|0|CC-MKCO-30|-|6|0|133333.33|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|26666.67|0|0|0|0|0|0|0|0|2933.3337|0|0|29600.0037|30|1|1|0|SLS001-00124120000000022510|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744657|2024-12-09|SI241243238|2024-12-10|13|C1107|C1107|C1107|SLS001-00124120000000022510|TO||0|0||||0|0|0|0|11|0|0|CC-MPNT-30|-|6|0|133333.33|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|26666.67|0|0|0|0|0|0|0|0|2933.3337|0|0|29600.0037|30|1|1|0|SLS001-00124120000000022510|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744657|2024-12-09|SI241243238|2024-12-10|13|C1107|C1107|C1107|SLS001-00124120000000022510|TO||0|0||||0|0|0|0|11|0|0|CH-PNT-12|-|8|0|81081.08|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|54054.05|0|0|0|0|0|0|0|0|5945.9455|0|0|59999.9955|12|1|1|0|SLS001-00124120000000022510|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744657|2024-12-09|SI241243238|2024-12-10|13|C1107|C1107|C1107|SLS001-00124120000000022510|TO||0|0||||0|0|0|0|11|0|0|DLX-CCC-20|-|10|0|97297.3|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|48648.65|0|0|0|0|0|0|0|0|5351.3515|0|0|54000.0015|20|1|1|0|SLS001-00124120000000022510|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744657|2024-12-09|SI241243238|2024-12-10|13|C1107|C1107|C1107|SLS001-00124120000000022510|TO||0|0||||0|0|0|0|11|0|0|DLX-CCS-20|-|5|0|97297.3|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|24324.32|0|0|0|0|0|0|0|0|2675.6752|0|0|26999.9952|20|1|1|0|SLS001-00124120000000022510|||N
